Timestamp,Feed_Water_Tank_Level_(50 to 70%),Feed_Water_Tank_Temperature_(102 to 105 C),Feed_Water_Tank_Pressure_(<0.5 kg/cm2),Boiler1_Level_Guage_(40-50%),Boiler1_Drum_Steam_Pressure,Boiler1_Modulation_%,Boiler1_F.D_FAN_AIR_Temperature_(OUTLET_TEMPERATURE),BOILER1_A.P.H_FLUE_GAS_OUTLET_TEMPERATURE_(<300 C),BOILER1_A.P.H_FLUE_GAS_INLET_TEMPERATURE_(<150 C),BOILER1_A.P.H_FLUE_GAS_O2_%,Boiler2_Level_Guage_(40-50%),Boiler2_Drum_Steam_Pressure,Boiler2_Modulation_%,BOILER2_FLUE_GAS_TEMPERATURE_(<300 C),BOILER1_FLUE_GAS_O2_%,Chimney_Temperature_C,NG_CV_kcal_per_Nm3,Boiler1_NG_Consumption_Nm3,Boiler2_NG_Consumption_Nm3,Boiler1_Feed_Water_KL,Boiler2_Feed_Water_KL,SoftWater_Inlet_KL,SoftWater_Outlet_KL,SoftWater_pH,SoftWater_Hardness_ppm,Feed_Water_Temp_C,Feed_Water_Conductivity_uScm,Feed_Water_pH,Feed_Water_DO_ppm,Feed_Water_TotalIron_ppm,Boiler1Water_TDS_ppm,Boiler2Water_TDS_ppm,Boiler1Water_Conductivity_uScm,Boiler2Water_Conductivity_uScm,Boiler1Water_pH,Boiler2Water_pH,Boiler1_Steam_Production_tons,Boiler2_Steam_Production_tons,DeltaT_Stack,Boiler1_Efficiency_%,Boiler2_Efficiency_%,Overall_Efficiency_%,Boiler1_FuelPerSteam,Boiler2_FuelPerSteam,Anomaly,Efficiency_Pred
2025-02-09 09:00:00,60.0,102.0,0.2,48.0,14.2,61.0,105.0,241.0,176.0,5.2,45.0,14.3,20.0,201.0,4.7,156.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.1,0.0,103.9,88.0,8.72,0.07,0.1,2180.0,562.0,3760.0,995.0,11.72,11.08,23.91666667,2.166666667,126.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,-1,100.0
2025-02-09 11:00:00,60.0,102.0,0.3,49.0,15.0,56.0,106.0,234.0,167.0,5.2,47.0,14.3,20.0,203.0,4.6,152.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.1,0.0,103.9,52.0,8.72,0.07,0.0,2250.0,577.0,3880.0,994.0,11.7,11.07,23.91666667,2.166666667,122.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-02-09 13:00:00,60.0,102.0,0.3,48.0,15.0,52.0,106.0,235.0,168.0,5.2,48.0,14.3,20.0,203.0,4.6,154.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.1,0.0,103.9,77.0,8.72,0.07,0.0,2262.0,576.0,3900.0,999.0,11.72,11.1,23.91666667,2.166666667,124.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-02-09 15:00:00,60.0,102.0,0.3,48.0,15.0,60.0,106.0,230.0,164.0,5.0,44.0,14.3,20.0,203.0,4.8,160.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.05,0.0,104.5,57.0,9.31,0.07,0.0,2244.0,576.0,3870.0,952.0,11.75,11.09,23.91666667,2.166666667,130.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-02-09 17:00:00,60.0,102.0,0.3,49.0,15.0,55.0,107.0,235.0,152.0,5.0,48.0,14.3,20.0,202.0,4.8,152.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.05,0.0,104.5,54.0,9.31,0.07,0.0,2273.0,579.0,3920.0,956.0,11.72,11.08,23.91666667,2.166666667,122.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-02-09 19:00:00,60.0,102.0,0.3,49.0,15.0,54.0,106.0,234.0,158.0,5.0,47.0,14.3,20.0,202.0,4.8,151.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.9,0.0,102.6,55.0,9.38,0.07,0.1,2262.0,552.0,3900.0,960.0,11.7,11.05,23.91666667,2.166666667,121.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-02-09 21:00:00,60.0,102.0,0.3,4.0,15.0,61.0,105.0,232.0,162.0,5.0,48.0,14.3,20.0,202.0,4.8,162.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.9,0.0,102.6,58.0,9.38,0.07,0.0,2256.0,555.0,3890.0,959.0,11.71,11.1,23.91666667,2.166666667,132.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-02-09 23:00:00,59.0,102.0,0.2,49.0,15.0,56.0,105.0,236.0,161.0,4.9,49.0,14.3,20.0,205.0,4.9,163.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.9,0.0,102.6,45.0,9.38,0.08,0.0,2262.0,556.0,3900.0,966.0,11.71,11.08,23.91666667,2.166666667,133.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-03-09 01:00:00,60.0,102.0,0.2,49.0,15.0,52.0,103.0,232.0,159.0,4.9,46.0,14.3,20.0,204.0,4.8,160.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.9,0.0,102.6,40.0,9.38,0.08,0.0,2314.0,560.0,3990.0,998.0,11.71,11.06,23.91666667,2.166666667,130.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-03-09 03:00:00,60.0,102.0,0.2,47.0,14.9,60.0,104.0,242.0,161.0,4.9,48.0,14.3,20.0,200.0,4.8,160.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.9,0.0,102.6,52.0,9.38,0.08,0.0,2331.0,578.0,4020.0,1012.0,11.68,11.09,23.91666667,2.166666667,130.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-03-09 05:00:00,60.0,102.0,0.3,49.0,15.0,55.0,104.0,237.0,170.0,4.9,48.0,14.3,20.0,202.0,5.0,159.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.9,0.0,102.6,52.0,9.38,0.01,0.1,2378.0,586.0,4100.0,1038.0,11.74,11.08,23.91666667,2.166666667,129.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,-1,100.0
2025-03-09 07:00:00,60.0,102.0,0.3,49.0,15.0,54.0,101.0,231.0,156.0,5.2,48.0,14.3,20.0,202.0,5.0,163.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.61,0.0,102.7,51.0,8.58,0.01,0.0,2215.0,602.0,3820.0,970.0,11.72,11.07,23.91666667,2.166666667,133.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,-1,100.0
2025-03-09 09:00:00,60.0,102.0,0.2,48.0,14.2,61.0,105.0,241.0,176.0,5.2,45.0,14.3,20.0,201.0,4.6,160.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.61,0.0,102.7,71.0,8.58,0.01,0.0,2180.0,609.0,3760.0,995.0,11.76,11.08,23.91666667,2.166666667,130.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-03-09 11:00:00,60.0,102.0,0.3,49.0,15.0,56.0,106.0,234.0,167.0,5.2,47.0,14.3,20.0,203.0,4.7,157.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.61,0.0,104.7,66.0,8.58,0.01,0.0,2250.0,562.0,3880.0,994.0,11.72,11.07,23.91666667,2.166666667,127.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,-1,100.0
2025-03-09 13:00:00,60.0,102.0,0.3,48.0,15.0,52.0,106.0,235.0,168.0,5.2,48.0,14.3,20.0,203.0,4.6,157.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.61,0.0,103.9,54.0,8.58,0.01,0.0,2262.0,577.0,3900.0,999.0,11.7,11.1,23.91666667,2.166666667,127.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-03-09 15:00:00,60.0,102.0,0.3,48.0,15.0,60.0,106.0,230.0,164.0,5.0,44.0,14.3,20.0,203.0,4.6,156.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.27,0.0,103.9,75.0,8.58,0.07,0.1,2244.0,576.0,3870.0,952.0,11.72,11.09,23.91666667,2.166666667,126.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,-1,100.0
2025-03-09 17:00:00,60.0,102.0,0.3,49.0,15.0,55.0,107.0,235.0,152.0,5.0,48.0,14.3,20.0,202.0,4.8,158.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.27,0.0,103.9,89.0,8.58,0.07,0.0,2273.0,576.0,3920.0,956.0,11.75,11.08,23.91666667,2.166666667,128.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-03-09 19:00:00,60.0,102.0,0.3,49.0,15.0,75.0,106.0,234.0,158.0,5.0,47.0,14.3,20.0,202.0,4.8,163.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.27,0.0,103.9,88.0,8.58,0.07,0.0,2262.0,579.0,3900.0,960.0,11.72,11.05,23.91666667,2.166666667,133.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-03-09 21:00:00,60.0,102.0,0.3,4.0,15.0,55.0,105.0,232.0,162.0,5.0,48.0,14.3,20.0,202.0,4.8,165.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.27,0.0,103.9,52.0,8.58,0.07,0.0,2256.0,552.0,3890.0,959.0,11.7,11.1,23.91666667,2.166666667,135.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-03-09 23:00:00,59.0,102.0,0.2,49.0,15.0,54.0,105.0,236.0,170.0,4.9,49.0,14.3,20.0,205.0,4.8,156.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.27,0.0,103.9,77.0,8.66,0.07,0.0,2262.0,555.0,3900.0,966.0,11.71,11.08,23.91666667,2.166666667,126.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-04-09 01:00:00,60.0,102.0,0.2,49.0,15.0,61.0,103.0,232.0,156.0,4.9,46.0,14.3,20.0,204.0,4.9,152.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.27,0.0,103.9,57.0,8.66,0.07,0.1,2314.0,556.0,3990.0,998.0,11.71,11.06,23.91666667,2.166666667,122.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-04-09 03:00:00,60.0,102.0,0.2,47.0,14.9,56.0,104.0,242.0,176.0,4.9,48.0,14.3,20.0,200.0,4.8,154.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.27,0.0,103.9,54.0,8.66,0.07,0.0,2331.0,560.0,4020.0,1012.0,11.71,11.09,23.91666667,2.166666667,124.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-04-09 05:00:00,60.0,102.0,0.3,49.0,15.0,52.0,104.0,237.0,167.0,4.9,48.0,14.3,20.0,202.0,4.8,160.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.9,0.0,103.9,55.0,8.66,0.07,0.0,2378.0,578.0,4100.0,1038.0,11.68,11.08,23.91666667,2.166666667,130.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-04-09 07:00:00,60.0,102.0,0.3,49.0,15.0,60.0,101.0,231.0,168.0,5.2,48.0,14.3,20.0,202.0,5.0,152.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.9,0.0,103.9,58.0,8.72,0.03,0.0,2215.0,586.0,3820.0,970.0,11.74,11.07,23.91666667,2.166666667,122.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,-1,100.0
2025-04-09 09:00:00,60.0,102.0,0.2,48.0,14.2,86.0,105.0,241.0,164.0,5.2,45.0,14.3,20.0,201.0,4.6,151.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.32,0.0,103.9,45.0,8.72,0.01,0.0,2180.0,602.0,3760.0,995.0,11.72,11.08,23.91666667,2.166666667,121.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-04-09 11:00:00,60.0,102.0,0.3,49.0,15.0,54.0,106.0,234.0,152.0,5.2,47.0,14.3,20.0,203.0,4.7,162.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.32,0.0,103.9,40.0,8.72,0.01,0.1,2250.0,609.0,3880.0,994.0,11.76,11.07,23.91666667,2.166666667,132.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,-1,100.0
2025-04-09 13:00:00,60.0,102.0,0.3,48.0,15.0,75.0,106.0,235.0,158.0,5.2,48.0,14.3,20.0,203.0,4.6,163.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.32,0.0,103.9,52.0,9.31,0.01,0.0,2262.0,562.0,3900.0,999.0,11.72,11.1,23.91666667,2.166666667,133.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-04-09 15:00:00,60.0,102.0,0.3,48.0,15.0,55.0,106.0,230.0,162.0,5.0,44.0,14.3,20.0,203.0,4.6,160.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.32,0.0,103.9,55.0,9.31,0.01,0.0,2244.0,577.0,3870.0,952.0,11.7,11.09,23.91666667,2.166666667,130.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,-1,100.0
2025-04-09 17:00:00,60.0,102.0,0.3,49.0,15.0,54.0,107.0,235.0,156.0,5.0,48.0,14.3,20.0,202.0,4.8,160.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.32,0.0,103.9,51.0,9.38,0.01,0.0,2273.0,576.0,3920.0,956.0,11.72,11.08,23.91666667,2.166666667,130.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-04-09 19:00:00,60.0,102.0,0.3,49.0,15.0,61.0,106.0,234.0,176.0,5.0,47.0,14.3,20.0,202.0,4.8,159.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.32,0.0,103.9,71.0,9.38,0.07,0.0,2262.0,576.0,3900.0,960.0,11.75,11.05,23.91666667,2.166666667,129.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-04-09 21:00:00,60.0,102.0,0.3,4.0,15.0,56.0,105.0,232.0,167.0,5.0,48.0,14.3,20.0,202.0,4.8,163.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.53,0.0,104.5,66.0,9.38,0.07,0.1,2256.0,579.0,3890.0,959.0,11.72,11.1,23.91666667,2.166666667,133.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-04-09 23:00:00,59.0,102.0,0.2,49.0,15.0,52.0,105.0,236.0,168.0,4.9,49.0,14.3,20.0,205.0,4.8,160.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.53,0.0,104.5,54.0,9.38,0.07,0.0,2262.0,552.0,3900.0,966.0,11.7,11.08,23.91666667,2.166666667,130.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-05-09 01:00:00,60.0,102.0,0.2,49.0,15.0,60.0,103.0,232.0,164.0,4.9,46.0,14.3,20.0,204.0,4.9,157.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.53,0.0,102.6,75.0,9.38,0.07,0.0,2314.0,555.0,3990.0,998.0,11.71,11.06,23.91666667,2.166666667,127.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-05-09 03:00:00,60.0,102.0,0.2,47.0,14.9,55.0,104.0,242.0,169.0,4.9,48.0,14.3,20.0,200.0,4.8,157.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.53,0.0,102.6,89.0,9.38,0.07,0.0,2331.0,556.0,4020.0,1012.0,11.71,11.09,23.91666667,2.166666667,127.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
2025-05-09 05:00:00,60.0,102.0,0.3,49.0,15.0,54.0,104.0,237.0,167.0,4.9,48.0,14.3,20.0,202.0,4.8,156.0,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.53,0.0,102.6,88.0,8.58,0.07,0.0,2378.0,560.0,4100.0,1038.0,11.71,11.08,23.91666667,2.166666667,126.0,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
,59.91666666666666,102.0,0.2666666666666666,44.833333333333336,14.925000000000002,59.208333333333336,104.83333333333331,234.91666666666663,164.77083333333334,5.033333333333334,47.16666666666666,14.3,20.0,202.41666666666663,4.766666666666667,158.60416666666666,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.3875,0.0,103.67291666666664,61.0,8.912916666666668,0.0575,0.0202083333333333,2268.9166666666665,572.8541666666666,3912.5,983.25,11.717916666666667,11.079166666666666,23.91666667,2.166666667,128.60416666666666,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
,59.91666666666666,102.0,0.2666666666666666,44.833333333333336,14.925000000000002,59.208333333333336,104.83333333333331,234.91666666666663,164.77083333333334,5.033333333333334,47.16666666666666,14.3,20.0,202.41666666666663,4.766666666666667,158.60416666666666,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.3875,0.0,103.67291666666664,61.0,8.912916666666668,0.0575,0.0202083333333333,2268.9166666666665,572.8541666666666,3912.5,983.25,11.717916666666667,11.079166666666666,23.91666667,2.166666667,128.60416666666666,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
,59.91666666666666,102.0,0.2666666666666666,44.833333333333336,14.925000000000002,59.208333333333336,104.83333333333331,234.91666666666663,164.77083333333334,5.033333333333334,47.16666666666666,14.3,20.0,202.41666666666663,4.766666666666667,158.60416666666666,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.3875,0.0,103.67291666666664,61.0,8.912916666666668,0.0575,0.0202083333333333,2268.9166666666665,572.8541666666666,3912.5,983.25,11.717916666666667,11.079166666666666,23.91666667,2.166666667,128.60416666666666,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
,59.91666666666666,102.0,0.2666666666666666,44.833333333333336,14.925000000000002,59.208333333333336,104.83333333333331,234.91666666666663,164.77083333333334,5.033333333333334,47.16666666666666,14.3,20.0,202.41666666666663,4.766666666666667,158.60416666666666,9400.0,434.9166667,82.66666667,25.58333333,7.0,17.16666667,13.83333333,7.3875,0.0,103.67291666666664,61.0,8.912916666666668,0.0575,0.0202083333333333,2268.9166666666665,572.8541666666666,3912.5,983.25,11.717916666666667,11.079166666666666,23.91666667,2.166666667,128.60416666666666,5.499137766200487,2.620967742233025,100.0,18.18466898840632,38.15384614951479,1,100.0
